PER,A
16.301258999999998,0.116802
26.783918300000003,0.17039300000000002
30.863893100000006,0.204059
34.260281,0.206443
2.78815679,0.040381
9.205585000000001,0.0383799
5.924262000000001,0.0623222
3.87595807,0.04845069999999999
11.41909375,0.10182100000000001
20.16034462,0.134576
6.69960006,0.0650994
11.90715,0.0996107
3300.0,3.41991
111.7,0.358346
18.00931444,0.13125
10.35863224,0.09237410000000001
21.3587621,0.151158
480.5,1.2415200000000002
33.469743,0.20526799999999998
1523.0,2.54268
3.27646405,0.0424409
60.866168,0.2596
6.057342,0.06503210000000001
13.5405,0.11118099999999999
345.72,0.887919
6.02930132,0.0575639
15.38231,0.121047
1.4303700000000001,0.0244921
14.13176026,0.10836199999999999
1.7323419999999998,0.028229
40.990398600000006,0.237227
11.550980000000001,0.101359
12.12400943,0.09706519999999999
3.10550819,0.0396151
8.40691199,0.0769479
1882.0,2.35317
10.94027841,0.093804
8.5234865,0.0771322
36.445171,0.215129
10.45843441,0.0854126
10.349695,0.0929448
15.65562652,0.115101
7.810936999999999,0.0770446
41.008010999999996,0.23273000000000002
9.939632000000001,0.0904732
17.232366,0.13056800000000002
4.33946454,0.0508228
8.371554,0.0806883
4.4652934,0.0553326
129.9459,0.39257600000000004
37.3229493,0.22494
25.672082999999997,0.17031300000000002
29.8454,0.179488
2.4855335,0.0413279
8.0109434,0.0626016
49.6077331,0.251269
25.762294,0.170712
3.310651,0.046861400000000004
38.1312831,0.23295900000000003
76.95785699999999,0.3493
10.00342,0.0778907
19.986326000000002,0.14413199999999998
25.369116,0.181042
2.7164762000000002,0.0391001
1.41122985,0.021862700000000002
10.04556931,0.0898835
8.436387,0.0811044
17.91323,0.133985
18.1373829,0.116426
7.7485,0.06830139999999998
5.925003,0.0640814
14.207,0.0892579
4.69500134,0.053943399999999996
12.05707239,0.100445
3.53269,0.0468682
5.60912,0.056382
38.47875707,0.220045
22.24813967,0.155326
7.25844721,0.073611
2.1522254000000003,0.031272900000000006
5.3418529999999995,0.05980459999999999
9.439452000000001,0.087412
6.14727918,0.0607115
1155.0,2.10091
5.217738,0.0588746
60.3231,0.30001300000000003
3.7630239999999997,0.0473476
1311.0,2.51797
4.3176782,0.052074699999999995
135.498527,0.516293
361.1,1.11312
3.26869515,0.044224599999999996
1.9616241,0.031604200000000006
31.175044800000002,0.194499
161.47439369999998,0.584174
2.68432848,0.038671
3.21222,0.0414094
,
2.9776412,0.04264419999999999
10.65276707,0.0897541
24.7576421,0.169505
3.4088300000000005,0.0446486
2.795906,0.0388408
0.85359163,0.017189799999999998
22.476442499999997,0.14286400000000002
3.1428347000000003,0.047973800000000004
415.2,1.23874
792.6,1.9851900000000002
35.1810304,0.221415
20.83424726,0.143067
35.118736,0.209877
1.11854972,0.0190745
9.576694,0.0882572
13.68237119,0.114152
33.416422999999995,0.203039
2.89221751,0.0345893
16.586176199999997,0.12728299999999998
3.4464589999999995,0.044470800000000005
0.97191543,0.018261000000000003
28.906009,0.184331
111.4367,0.44734300000000005
5.01423457,0.0654845
16.709184,0.127912
23.238279199999997,0.167934
2.4552389999999997,0.0298817
5.398763,0.0617749
12.354472999999999,0.0466967
8.49642241,0.0737068
16.01310205,0.11493900000000001
98.7180406,0.420795
9.694927999999999,0.08898210000000001
2.17517656,0.03613909999999999
190.32349399999998,0.6475420000000001
1475.0,2.84117
44.96417488,0.230681
107.723601,0.44307799999999997
16.8191,0.11871500000000001
78.10002309999999,0.373544
16.22371307,0.12286199999999999
93.4,0.49020600000000003
8.63043276,0.0776941
56.228097999999996,0.287238
7.97419807,0.0803909
219.3,0.742283
20.306546,0.14566800000000002
4.362705,0.0522529
19.446355,0.141525
21.869741,0.153051
148.6,0.608531
6.7713149999999995,0.0667693
5.74347727,0.0617018
45.348269,0.24887399999999998
4.12554687,0.052742399999999995
14.37508035,0.117226
302.8,0.92376
10.37168453,0.0874713
1862.0,2.80658
7.16892463,0.0794128
7.74809437,0.0793434
15.033010500000001,0.119208
610.2,1.61027
3.6112705999999997,0.05150369999999999
87.9732136,0.39220900000000003
51.300634,0.263744
24.3556,0.152945
24.6454,0.139869
1920.1,3.07131
481.9,1.2589
13.24503188,0.11240399999999999
8.73485836,0.0838281
31.805173999999997,0.196459
38.5583038,0.22186799999999998
19.3044,0.136979
2.23749275,0.0310798
11.01816836,0.0955953
4.915379,0.0565776
81.4162941,0.405305
8.921099,0.08418189999999999
10.558345,0.0941898
0.6693109,0.014974700000000002
1.22486632,0.0209702
1.30619,0.0227178
2.061897,0.0317043
6.673858999999999,0.06922710000000001
3.04033042,0.038753699999999995
45.29485,0.239656
49.77,0.24985500000000002
53.52934870000001,0.259117
36.924931,0.217013
3.6001053,0.0419153
8.60010411,0.07842400000000001
9.653471000000001,0.0887283
30.826557,0.192408
44.699576,0.246495
2.1451,0.032041900000000005
3.162697,0.042167500000000004
1.22002563,0.019659400000000004
4.46975774,0.052747800000000004
3.234723,0.0456089
7.9194,0.0758978
5.64067757,0.0626287
20.050401,0.14444
3.8361690000000004,0.045289499999999996
910.0,2.24032
28.125,0.176696
